x1,y1,z1,phix1,phiy1,phiz1,arm_left_1_joint,arm_left_2_joint,arm_left_3_joint,arm_left_4_joint,arm_left_5_joint,arm_left_6_joint,arm_left_7_joint,head_1_joint,head_2_joint,
-0.0798863,-0.190306,0.627985,2.83923,0.559689,-1.32685,1.28737,0.236203,-0.465012,0.385988,1.97646,2.05843,-0.33743,1.06,-0.60003,
-0.0353587,0.0282299,0.448417,2.38453,-0.398038,1.67524,0.811404,-0.411065,1.97037,-1.74776,2.17284,0.750476,0.961516,-0.584935,-0.279029,
0.0952949,-0.0494718,0.604577,2.80943,-0.202481,1.92796,0.462783,0.717106,0.621814,-1.11566,-1.6317,1.73695,-0.666134,0.419537,-0.785873,
0.101275,0.0510974,0.436526,2.83487,0.196807,1.75307,-0.77967,-1.09282,-1.92421,0.734537,-0.695133,1.41538,-0.426401,0.737466,0.530385,
0.0425204,-0.000647773,0.754636,2.66521,-0.334586,1.60525,0.699615,0.255905,-2.22617,-0.383495,0.727515,1.69888,0.462708,0.510155,-0.477159,
0.0582094,0.0391395,0.306181,2.83286,0.545425,1.74747,-0.327505,-0.389326,-0.0100426,-1.41107,0.742111,-1.62173,1.31059,0.668351,0.312289,
0.028606,0.0335296,0.482674,2.80214,0.209379,1.58965,0.988962,-0.0928119,-1.34041,0.768836,-0.0325969,1.3767,-0.486011,-0.308475,-0.458728,
0.0363485,-0.0815089,0.680474,2.63626,-0.40421,1.62621,0.763203,0.461243,-0.859293,-1.16398,2.23693,-2.07981,-3.39628,0.623811,-0.355823,
0.094053,0.00906646,0.465819,3.08304,-0.50319,1.4788,-0.332107,-0.403922,-0.131611,1.3094,2.13439,-1.91707,-2.01067,1.04772,-0.411115,
0.0504786,0.0393187,0.355383,2.87757,-0.0743537,1.78537,-0.60355,-0.882596,1.06607,-1.16743,-0.66709,-1.33653,-3.06554,0.404178,0.510418,
0.109075,0.00675516,0.315764,2.85633,-0.620508,1.50955,1.22505,-0.15652,1.9541,-1.59062,-0.50444,-1.05135,-2.44399,-0.952012,-0.512484,
0.0632128,-0.000209066,0.557253,2.88389,-0.239572,1.44011,0.237959,0.0243938,2.07658,-1.21944,-0.500173,-1.16496,-2.70163,0.32892,-0.420331,
-0.125485,0.0517766,0.428409,3.0062,0.121244,-1.41544,1.41994,0.46817,0.142181,-1.2413,-0.93393,-1.98897,-2.17164,1.03696,0.0450438,
-0.0224399,0.0322119,0.498075,2.57146,-0.312271,1.54319,0.133792,0.976037,0.130029,-2.03121,-1.88692,1.50057,-0.824757,0.527049,-0.126976,
