order,rms,r2,coeficient and rho
"[0, 0]",0.0150047537642118,0.18754067136968,[ 0.00776391 -0.00826382]
"[0, 1]",0.0150047537642118,0.18754067136968,[ 0.00776391 -0.00826382]
"[0, 2]",0.0142227281284324,0.270022118896017,[ 0.0089109   0.00420569 -0.00724219  0.00835471]
"[0, 3]",0.013097969641814,0.380912774142714,[ 0.01283484  0.00037142 -0.00715072 -0.00223669  0.00434219 -0.01072328]
"[0, 4]",0.012574565975441,0.429402464351324,"[ 0.0120093  -0.01238763 -0.0036964   0.01034716 -0.00268833 -0.00528371
 -0.00803614  0.00772244]"
"[0, 5]",0.0125529391633467,0.431363501231544,"[ 0.01125533 -0.01203175  0.00160407  0.00985201 -0.00330409 -0.00214441
 -0.005467   -0.01214535  0.0079452   0.00263861]"
"[0, 6]",0.012518531171858,0.434476529112257,"[ 0.01138651 -0.00597972  0.00013116 -0.00583685 -0.0020102   0.00726852
 -0.00211962 -0.00578206 -0.01251451  0.00905626  0.00297543 -0.0006687 ]"
"[0, 7]",0.0124803633638376,0.437919726399011,"[ 0.01252468 -0.00660662 -0.01645551 -0.00357648  0.02516902  0.00587319
 -0.01034468 -0.00261507 -0.0056125  -0.00547396  0.00847224 -0.00879152
 -0.00035718  0.00459107]"
"[1, 1]",0.00877238746767272,0.722297687961902,[ 0.00759827  0.00453871  0.01273783 -0.0090641   0.00912508  0.01691968]
"[1, 2]",0.00877238746767272,0.722297687961902,[ 0.00759827  0.00453871  0.01273783 -0.0090641   0.00912508  0.01691968]
"[1, 3]",0.00746056720713433,0.799142719665199,"[ 0.01085111  0.00134248  0.01223083 -0.00580787 -0.0047697   0.00574518
  0.01637368 -0.00909101]"
"[1, 4]",0.0066849679239276,0.838734101926989,"[ 0.0101322  -0.01037615  0.01203962 -0.00269142  0.00950904 -0.00515748
 -0.00275169  0.01625516 -0.00669415  0.00678527]"
"[1, 5]",0.00664042255317243,0.840876136154011,"[ 0.00944001 -0.01010704  0.01203626  0.00214411  0.00913377 -0.00303731
 -0.00449519 -0.00304355  0.01626476 -0.01175438  0.00715324  0.0032215 ]"
"[1, 6]",0.00657883475794971,0.843814094250186,"[ 0.00956286 -0.00429433  0.01202785  0.0007818  -0.00596891 -0.00184098
  0.00701401 -0.00447738 -0.00401451  0.0162667  -0.01194984  0.00998
  0.00340754 -0.00146213]"
"[1, 7]",0.00651350356606365,0.846900703724565,"[ 0.01065756 -0.00491176  0.01202152 -0.0152116  -0.00374608  0.02436409
  0.00564244 -0.00996913 -0.00489815 -0.00389957  0.01626096 -0.00607702
  0.00959167 -0.00641209 -0.0012636   0.00384305]"
"[2, 2]",0.00692507878957961,0.82694134591431,"[ 0.01603669  0.00131429  0.01318051 -0.00894198 -0.00342037 -0.00651224
 -0.00610367  0.00583213  0.01615578 -0.0083171  -0.00296505  0.00157215]"
"[2, 3]",0.00692507878957961,0.82694134591431,"[ 0.01603669  0.00131429  0.01318051 -0.00894198 -0.00342037 -0.00651224
 -0.00610367  0.00583213  0.01615578 -0.0083171  -0.00296505  0.00157215]"
"[2, 4]",0.00616276317705437,0.862945013281983,"[ 0.01517662 -0.01006931  0.01298586 -0.00579435 -0.00190522 -0.00626688
  0.00919707 -0.00663131 -0.00236334  0.01600705 -0.00587862 -0.0016637
  0.00179105  0.00650492]"
"[2, 5]",0.00613243461611048,0.864290660468184,"[ 0.01472585 -0.01000695  0.0129759  -0.00303481 -0.00184167 -0.00619959
  0.00910235 -0.00174326 -0.0059035  -0.00268474  0.01604017 -0.01075548
 -0.00182996  0.0016575   0.00693861  0.00302447]"
"[2, 6]",0.0060675234312284,0.867148394179219,"[ 0.01483977 -0.00428493  0.01296716 -0.00436055 -0.00178681 -0.00619157
 -0.00578343 -0.00057029  0.0069158  -0.00588374 -0.0036618   0.01604273
 -0.01094372 -0.00181895  0.00165461  0.00977338  0.00320356 -0.00146316]"
"[2, 7]",0.00599593356486655,0.870264894787832,"[ 0.015939   -0.00490028  0.01296122 -0.02037559 -0.00178935 -0.00619443
 -0.00356713  0.02566689  0.00554811 -0.00998211 -0.00632442 -0.00353722
  0.01603528 -0.00486165 -0.00181313  0.00166342  0.00934747 -0.00695332
 -0.00124258  0.00397126]"
"[3, 3]",0.00564504661374157,0.885005002311859,"[ 0.01565075 -0.01064343  0.0094189  -0.0061558  -0.00209024 -0.00683962
  0.00961657  0.00320373  0.00103651  0.00221695 -0.00786261  0.00079765
  0.02676703 -0.00519951 -0.0011624   0.00369982  0.0046551  -0.00905355
 -0.00549879 -0.00684079]"
"[3, 4]",0.00564504661374157,0.885005002311859,"[ 0.01565075 -0.01064343  0.0094189  -0.0061558  -0.00209024 -0.00683962
  0.00961657  0.00320373  0.00103651  0.00221695 -0.00786261  0.00079765
  0.02676703 -0.00519951 -0.0011624   0.00369982  0.0046551  -0.00905355
 -0.00549879 -0.00684079]"
"[3, 5]",0.00561755152273196,0.886122476843016,"[ 0.01522394 -0.01056802  0.0094756  -0.00355905 -0.00202718 -0.0067736
  0.00950177  0.00300119  0.00101675  0.00219981 -0.00163074 -0.007199
  0.00040775  0.0267138  -0.00965081 -0.00130974  0.00358018  0.00511921
 -0.00867362 -0.00533836 -0.00682794  0.00275722]"
"[3, 6]",0.00554688708972353,0.888969438726868,"[ 1.53412312e-02 -3.96272925e-03  9.54833666e-03 -4.90076967e-03
 -1.88941090e-03 -6.77371630e-03 -6.16416129e-03  2.53318636e-03
 -4.30495271e-05  2.17726119e-03 -4.31290528e-04  7.06304682e-03
 -7.17259424e-03  1.26010651e-04  2.67125286e-02 -1.00103542e-02
 -1.32096062e-03  3.57785390e-03  6.09958372e-03 -8.64425216e-03
 -5.31767885e-03 -6.82957947e-03  3.08015093e-03 -5.93408573e-04]"
"[3, 7]",0.00546992920251397,0.89202895753712,"[ 1.64311964e-02 -4.55002024e-03  9.65558689e-03 -2.09890796e-02
 -1.89854590e-03 -6.76397383e-03 -3.95087389e-03  2.33996191e-03
 -9.39506478e-05  2.12118487e-03  2.59583149e-02  5.67768440e-03
 -1.00398846e-02 -7.56194244e-03  2.04674197e-04  2.67122891e-02
 -4.74386580e-03 -1.32308453e-03  3.58480622e-03  5.83074431e-03
 -8.66652317e-03 -5.31232856e-03 -6.83117298e-03 -5.71835057e-03
 -4.64209812e-04  3.45185561e-03]"
"[4, 4]",0.00541401236178244,0.894225161704993,"[ 1.47389907e-02 -1.04415673e-02  9.41081570e-03 -1.62247950e-04
 -4.20792993e-03 -6.20977832e-03  9.41858345e-03  3.86580841e-03
  9.71789614e-04  2.16385950e-03 -3.26686566e-03  1.63568274e-03
 -5.13144548e-03  5.28811080e-04  7.58430351e-05 -1.07520185e-02
  3.78074570e-04  2.47044405e-02 -6.79285976e-03 -3.05984294e-03
  1.76178625e-02  5.15050616e-03 -7.15533676e-03 -5.03030470e-03
 -5.03820498e-03  2.40555163e-03  3.35267405e-03 -7.09133680e-03
 -8.89804839e-04 -6.28266969e-03]"
"[4, 5]",0.00541401236178244,0.894225161704993,"[ 1.47389907e-02 -1.04415673e-02  9.41081570e-03 -1.62247950e-04
 -4.20792993e-03 -6.20977832e-03  9.41858345e-03  3.86580841e-03
  9.71789614e-04  2.16385950e-03 -3.26686566e-03  1.63568274e-03
 -5.13144548e-03  5.28811080e-04  7.58430351e-05 -1.07520185e-02
  3.78074570e-04  2.47044405e-02 -6.79285976e-03 -3.05984294e-03
  1.76178625e-02  5.15050616e-03 -7.15533676e-03 -5.03030470e-03
 -5.03820498e-03  2.40555163e-03  3.35267405e-03 -7.09133680e-03
 -8.89804839e-04 -6.28266969e-03]"
"[4, 6]",0.00533704017388901,0.897211429146884,"[ 1.48712763e-02 -3.63883519e-03  9.44531674e-03 -1.70796278e-03
 -4.89022652e-03 -6.20850347e-03 -6.70374127e-03  3.52896319e-03
 -8.21020518e-05  2.15745508e-03 -1.91467034e-03  2.63388593e-03
 -4.94079074e-03  7.15132376e-04  6.32766153e-05  7.26263263e-03
 -1.07250017e-02  3.70941052e-04  2.46892712e-02 -7.22842018e-03
 -2.94342074e-03  1.76318176e-02  5.44684526e-03 -7.08256222e-03
 -5.03024399e-03 -5.03347641e-03  2.78414252e-03  3.18553402e-03
 -7.09396965e-03 -9.37649848e-04 -6.29112004e-03 -2.77064055e-04]"
"[4, 7]",0.00526933863258071,0.899802680690836,"[ 1.61140246e-02 -4.24784259e-03  9.52152996e-03 -1.85193104e-02
 -5.09272004e-03 -6.48894196e-03 -4.57853989e-03  3.29133783e-03
 -3.07466127e-05  2.13533929e-03  2.40507021e-02  3.20437748e-03
 -2.82947039e-03  7.24309778e-04  6.29511762e-05  5.95310947e-03
 -9.60437245e-03 -1.10828444e-02  3.71360409e-04  2.46856788e-02
 -2.98271882e-03 -2.78825456e-03  1.77251555e-02  5.45048873e-03
 -7.02420571e-03 -5.01925908e-03 -5.03883736e-03 -3.88414371e-03
  2.89042547e-03 -7.67240840e-03 -9.90165271e-04 -6.29423109e-03
 -2.96562346e-04  2.55770183e-03]"
"[5, 5]",0.00525285102370171,0.900428728767853,"[ 0.01439334 -0.00333846  0.00277145 -0.00030772 -0.00502967 -0.0052602
 -0.00776578  0.00039745  0.00122783  0.0187853  -0.00246906  0.003201
 -0.00711343  0.00047179  0.0002576   0.0077945   0.00501322  0.00048732
 -0.00478786 -0.00160851 -0.00631661 -0.01060526  0.0027057   0.02644125
 -0.00753319 -0.00262302  0.01743863  0.00185947 -0.0098664  -0.01396809
 -0.00932683  0.00296318  0.00313699 -0.00700659 -0.00145251 -0.00634477
  0.00087146  0.00026535  0.00784568  0.0055587   0.0039882   0.0015686 ]"
"[5, 6]",0.00525285102370171,0.900428728767853,"[ 0.01439334 -0.00333846  0.00277145 -0.00030772 -0.00502967 -0.0052602
 -0.00776578  0.00039745  0.00122783  0.0187853  -0.00246906  0.003201
 -0.00711343  0.00047179  0.0002576   0.0077945   0.00501322  0.00048732
 -0.00478786 -0.00160851 -0.00631661 -0.01060526  0.0027057   0.02644125
 -0.00753319 -0.00262302  0.01743863  0.00185947 -0.0098664  -0.01396809
 -0.00932683  0.00296318  0.00313699 -0.00700659 -0.00145251 -0.00634477
  0.00087146  0.00026535  0.00784568  0.0055587   0.0039882   0.0015686 ]"
"[5, 7]",0.00518628638944985,0.902936292895665,"[ 0.01562096 -0.00384267  0.00267078 -0.01693307 -0.00506052 -0.00552254
 -0.00576717  0.00144934  0.00090272  0.01885636  0.0232171   0.00353879
 -0.00511095  0.00040309  0.00025428  0.00650349  0.00402219  0.0008228
 -0.00496337 -0.00144799 -0.00633517 -0.00950255 -0.01094785  0.00280068
  0.02652679 -0.00349374 -0.00245061  0.01752264  0.00167068 -0.01057354
 -0.01428446 -0.00939686 -0.00336868  0.00283057 -0.00756112 -0.00151953
 -0.00634541  0.00093196  0.00084178  0.00824735  0.0058681   0.00410482
  0.00158183  0.00242806]"
"[5, 8]",0.00511179150680325,0.905704677955818,"[ 0.01552261 -0.01049331  0.00271674 -0.01506158 -0.00510029 -0.00549087
  0.02698176  0.0012893   0.00149319  0.01874817  0.01952919  0.00365472
 -0.00541802  0.00033523  0.00024964 -0.03039936  0.00378437 -0.00143078
 -0.00445663 -0.00112865 -0.00630117 -0.00779337  0.01150219 -0.01095586
 -0.00239459  0.02669165 -0.00182847 -0.00231589  0.01751719  0.02721706
 -0.0109688  -0.01378175 -0.00972771 -0.00690714  0.00260674 -0.00790203
 -0.00164741 -0.00635026 -0.02779114  0.00078551  0.00648961  0.00649337
  0.00438053  0.00169592  0.00406345  0.00892389]"
