x1,y1,z1,phix1,phiy1,phiz1,arm_1_joint,arm_2_joint,arm_3_joint,arm_4_joint,arm_5_joint,arm_6_joint,arm_7_joint,head_1_joint,head_2_joint,
-0.0741142,-0.0672228,0.386789,2.72175,0.427914,-0.141512,1.37141,0.248528,-2.18558,1.79153,0.61145,1.06058,-1.94018,0.360229,0.260271,
-0.14591,0.10269,0.733336,2.95879,0.413333,-0.200198,2.37755,-1.10117,-3.19325,0.897363,-1.54346,1.13344,-0.496166,0.639761,-0.481564,
-0.0718182,0.0873793,0.447286,-2.82472,0.354315,0.0512302,1.34074,-1.27601,-1.48006,1.6535,-1.04653,1.24693,-1.04141,0.774919,-0.590612,
0.248504,-0.171469,0.88486,2.55696,-0.0683351,-0.0390116,0.469573,-0.300552,0.492331,0.225584,1.72955,0.963957,0.552914,-0.791689,-0.695053,
0.191122,-0.0333063,0.73951,2.71713,-0.363654,-0.0146471,0.885217,-0.772944,-1.07362,1.38356,-0.379348,0.824387,-0.0138037,0.701196,-0.879359,
0.148012,-0.0964287,0.686881,2.47056,0.223445,-0.292289,0.899021,-0.702392,-3.28221,1.49399,-0.229041,-0.437117,-1.48236,-0.446114,-0.324903,
-0.270073,-0.0406899,0.704099,2.68055,-0.368274,-0.0605489,1.16129,0.403436,-0.226994,0.676504,1.57464,1.23696,-0.0222393,-0.651923,-0.145204,
0.363444,-0.0062372,0.863355,2.42523,0.0145446,0.0700563,1.14902,-0.340429,-2.63344,-0.00907853,-1.48364,0.831288,0.616564,0.0960556,-0.486172,
-0.0189021,-0.0631843,0.495424,2.83942,0.143161,-0.242166,0.886751,0.90497,-0.509202,0.0783448,1.14366,1.07899,-0.108129,-0.579736,0.621205,
0.0994345,-0.00928026,0.501956,2.74496,-0.0605935,-0.120972,0.98491,0.434111,-3.24847,0.648897,-1.72597,0.732362,0.391871,-0.372391,0.613525,
0.241637,-0.112601,0.794724,2.59081,-0.111837,-0.00125092,0.937364,-0.0750914,-0.546012,1.26239,0.680468,1.25153,-0.0820552,0.168242,-0.79335,
-0.155151,0.0105949,0.597307,2.83796,0.615449,-0.270096,1.24565,0.271534,-2.20245,0.362087,-0.505115,1.06135,-0.974693,-0.332458,0.246448,
0.21213,0.19742,0.968114,2.24905,-0.039258,0.10822,0.379082,-0.799018,-0.903374,-0.024416,0.395192,0.927147,0.358129,-0.88077,-0.599827,
0.213223,-0.0870893,0.726545,2.67626,-0.0197686,-0.1644,0.59534,0.184111,0.791411,0.13356,2.12985,1.02377,0.509202,-0.685712,-0.142132,
-0.0320252,0.0649819,0.704674,2.12061,-0.118433,-0.367891,2.13828,0.80681,0.768405,-0.065827,1.6636,0.408742,0.718558,0.718091,0.567449,
0.0789777,-0.0485362,0.464423,3.0059,-0.8773,0.0518108,0.326935,-0.610367,-2.59509,1.73785,-0.633949,0.507669,0.263804,-0.833158,-0.0868402,
0.160366,0.134612,0.96829,2.177,0.00350042,-0.210833,0.0846037,-1.06129,-2.32209,0.802271,-1.47751,0.361196,0.212423,-0.860804,-0.64744,
