x1,y1,z1,phix1,phiy1,phiz1,arm_1_joint,arm_2_joint,arm_3_joint,arm_4_joint,arm_5_joint,arm_6_joint,arm_7_joint,head_1_joint,head_2_joint,
-0.0935104,-0.0744911,0.404415,2.72756,0.423428,-0.141978,1.37141,0.248528,-2.18558,1.79153,0.61145,1.06058,-1.93942,0.360229,0.260271,
-0.165832,0.0967966,0.744496,2.95691,0.416475,-0.202998,2.37908,-1.1027,-3.19325,0.895829,-1.54346,1.13344,-0.495399,0.641296,-0.481564,
-0.0933705,0.0770137,0.451721,-2.82633,0.353156,0.0483627,1.34074,-1.27448,-1.48006,1.6535,-1.04499,1.24693,-1.04141,0.770311,-0.590612,
0.227955,-0.17961,0.892143,2.55816,-0.0618827,-0.0392125,0.469573,-0.300552,0.492331,0.225584,1.72955,0.963957,0.552914,-0.791689,-0.695053,
0.169805,-0.0420278,0.738026,2.72225,-0.363136,-0.0181555,0.886751,-0.772944,-1.07362,1.38356,-0.377814,0.824387,-0.0138037,0.69966,-0.877823,
0.129862,-0.101969,0.697332,2.47246,0.224428,-0.287301,0.899021,-0.702392,-3.28221,1.49399,-0.227507,-0.437117,-1.48236,-0.444578,-0.329511,
-0.292231,-0.0475435,0.703033,2.68718,-0.363761,-0.0607121,1.16129,0.403436,-0.226994,0.674971,1.57617,1.23696,-0.0222393,-0.651923,-0.143668,
0.342405,-0.0149336,0.867021,2.42399,0.0111547,0.0739211,1.14902,-0.338895,-2.63344,-0.0106123,-1.48364,0.831288,0.616564,0.0945197,-0.486172,
-0.0400581,-0.0675787,0.50218,2.83486,0.146354,-0.243155,0.888285,0.906504,-0.509202,0.0783448,1.14519,1.07745,-0.106595,-0.5782,0.621205,
0.0775754,-0.0160038,0.505115,2.74697,-0.0639687,-0.119991,0.986444,0.434111,-3.24847,0.648897,-1.72444,0.732362,0.391104,-0.372391,0.613525,
0.219593,-0.121391,0.80034,2.59448,-0.111194,-0.00568411,0.937364,-0.0750914,-0.546012,1.26393,0.680468,1.25153,-0.0820552,0.166707,-0.79335,
-0.172569,0.005521,0.613199,2.83983,0.617383,-0.269575,1.24565,0.271534,-2.20245,0.362087,-0.505115,1.06135,-0.974693,-0.332458,0.246448,
0.192225,0.189143,0.975808,2.24943,-0.0401176,0.10731,0.379082,-0.799018,-0.903374,-0.024416,0.393658,0.927147,0.358129,-0.88077,-0.599827,
0.189881,-0.0849949,0.731305,2.66293,-0.018694,-0.164711,0.59534,0.184111,0.792945,0.13356,2.12985,1.02377,0.509202,-0.687248,-0.132917,
-0.0545508,0.0682338,0.711135,2.11939,-0.117074,-0.369795,2.13828,0.80681,0.766871,-0.0642933,1.66513,0.408742,0.718558,0.718091,0.567449,
0.0650511,-0.059148,0.449336,3.0082,-0.875587,0.0507093,0.326935,-0.608834,-2.59509,1.73785,-0.633949,0.507669,0.263804,-0.833158,-0.0868402,
0.139623,0.134399,0.978352,2.18035,0.00387778,-0.218136,0.0861374,-1.06129,-2.32209,0.802271,-1.47751,0.361196,0.212423,-0.859268,-0.64744,
