x1,y1,z1,phix1,phiy1,phiz1,arm_1_joint,arm_2_joint,arm_3_joint,arm_4_joint,arm_5_joint,arm_6_joint,arm_7_joint,head_1_joint,head_2_joint,
0.170852,-0.050049,0.562218,2.60835,-0.0765568,-0.0201028,0.223603,-1.03009,-0.958652,2.19338,0.502215,0.0962589,-0.0359426,0.87859,-0.782297,
0.261017,-0.118179,0.94713,2.4833,0.174608,-0.0439486,1.5055,-0.392059,-0.0391221,-0.0639821,1.17043,0.817693,1.81794,0.301784,-0.482067,
0.352288,0.126973,0.941332,2.22843,0.128071,-0.178696,1.14084,-0.407904,-2.62524,-0.262587,1.37424,-1.10518,-1.15903,0.117213,-0.424058,
0.12203,0.108041,0.933611,2.1451,0.15492,-0.00268531,0.36316,-1.12147,-2.56834,1.3956,0.246388,0.282468,-0.121679,-0.786679,-0.385019,
0.103949,0.113087,0.929483,2.46339,-0.237081,0.179171,0.756874,-0.679614,1.19124,-0.29269,-0.548312,-1.08147,-1.29439,-0.517525,-0.376694,
0.224291,0.213347,0.936344,2.1852,-0.182615,-0.0841936,0.430289,-0.642371,-1.45044,0.767797,-0.713715,0.740934,1.8318,-0.214802,-0.41168,
-0.31276,-0.0381986,0.921953,2.50392,-0.174368,0.0675702,2.14696,-1.26613,-2.41013,0.903345,-0.299442,0.969398,0.82188,0.335766,-0.802003,
-0.194479,0.207504,0.65705,2.19605,-0.114266,-0.111608,2.18254,-0.930717,-3.32601,1.84714,-0.723168,-0.160134,0.503555,0.29384,0.205353,
-0.120764,-0.118714,0.904227,2.65809,-0.262268,0.149104,2.60246,-0.7682,-2.86572,0.697332,2.06917,-0.768283,-1.63759,0.965218,-0.4628,
-0.0368785,-0.0363678,0.480461,2.46581,-0.0304565,-0.0100765,0.424589,-0.257735,-2.02227,2.30197,0.776213,1.16957,-0.336348,-0.506236,0.0671897,
-0.110291,0.11452,0.911065,2.54325,0.255735,-0.263312,1.0736,-0.667282,1.46302,0.0974965,-0.0634057,-1.26238,-1.9515,-0.675461,-0.401243,
0.191358,0.211313,0.729554,2.60663,0.376787,-0.203362,0.0633677,-0.416895,-2.87796,0.325352,-1.39283,1.2884,1.33588,-1.23226,0.103967,
-0.0342111,-0.0583649,0.581232,2.445,-0.126713,-0.0579887,0.935781,-0.79978,-1.855,2.34075,0.879728,0.824332,-0.48439,0.223646,-0.306648,
0.0816521,0.132949,0.594618,2.3441,-0.21332,0.00832615,0.298458,-1.2927,-0.977948,2.0891,1.10102,0.00767857,-0.755473,0.836715,-0.436087,
0.301393,0.0463115,0.63696,2.84684,0.0400028,-0.0639115,1.32033,-1.29263,-2.58897,1.30329,1.26168,-0.995679,-0.974518,0.783656,-0.445767,
0.22312,-0.00862531,0.592806,2.58142,0.372314,-0.106473,1.25065,-0.359724,-3.22023,1.35574,1.43872,-0.348626,-1.50763,-0.0282006,0.307521,
0.264373,-0.113117,0.884524,2.56763,0.00349508,-0.155747,0.338219,-1.16487,-2.395,0.999964,1.01075,-0.654123,-0.860275,-0.249651,-0.795159,
-0.1689,-0.0606895,0.539757,3.0576,0.300931,-0.0140368,1.32991,-1.56283,-2.23703,1.72728,-1.10126,0.91913,0.457492,0.049462,-0.562181,
0.318377,-0.0098325,0.907584,2.49286,-0.236965,0.11063,1.31613,-0.545114,1.56252,0.115547,-0.63311,-1.17977,-0.693295,0.260461,-0.51742,
0.167586,-0.0801737,0.634799,2.53266,0.0545994,0.0529965,0.802887,-1.29647,-3.31768,2.13372,-0.737277,-0.334041,0.911069,-0.582241,-0.363819,
-0.187395,0.0978869,0.577761,2.44975,-0.0612101,-0.0536475,2.44577,-1.38459,1.36,1.96185,-2.09264,0.0552227,1.88448,-1.04372,-0.477151,
-0.0922017,0.265662,0.754617,2.38525,-0.254881,0.212399,1.90949,-1.10025,1.10372,1.31812,0.454158,-0.935261,-0.623424,-1.01779,-0.488779,
-0.195793,0.250203,0.903698,2.20736,-0.0482897,-0.0747761,1.18791,-0.502258,-3.23068,0.468285,-1.50091,0.653367,1.29911,-0.63329,-0.0196466,
-0.0151652,0.127105,0.896033,2.46284,0.450759,-0.204145,0.796762,-0.45847,1.08758,0.355653,-0.275358,-1.26775,-1.97856,-1.03035,-0.284835,
-0.0340908,0.231009,0.809317,2.15047,0.0970815,0.0402273,1.70092,-0.566837,-2.00614,1.44092,0.34579,0.871313,0.203425,0.565038,0.0499383,
-0.0618848,0.0367924,0.830157,2.38142,0.396594,-0.25166,2.20554,-0.65732,1.09199,1.46503,-0.220627,-1.01507,-1.18953,-0.314629,-0.623233,
-0.140334,-0.00547447,0.753236,2.87179,0.0774279,0.0121821,2.39892,-1.31557,-3.31535,1.11725,-1.4153,0.989234,1.25368,0.48227,-0.534954,
0.0635289,-0.0183251,0.66133,2.42346,-0.187584,0.0962753,1.91988,-1.33007,1.0141,2.0283,-0.307059,-0.924941,0.510003,-0.980528,-0.746658,
-0.120304,-0.0682814,0.584094,3.07938,0.491633,-0.237689,0.415632,-0.831765,-2.0192,1.41276,-0.82736,0.955929,0.428586,-0.67455,-0.337251,
0.0364467,0.183443,0.563701,2.22378,0.102862,-0.0444143,0.43198,-1.1576,-3.03279,2.23532,1.06484,0.233703,-1.17633,-1.07464,0.213934,
0.176688,-0.0214333,0.826669,2.67185,0.0483243,0.0738349,1.42345,-0.452844,-1.201,1.10613,0.204455,1.274,1.08972,0.635841,-0.460063,
0.0658569,0.184746,0.744585,2.10863,-0.0592553,0.146898,1.78396,-1.44729,-3.11001,2.08996,-1.14507,-0.30428,1.37762,0.406619,-0.179641,
-0.0314991,0.036792,0.553201,2.51895,0.349958,-0.257542,2.28527,-1.17618,1.32531,2.11082,-0.01459,-0.661576,-0.491952,-0.5775,-0.42813,
0.0496775,-0.122072,0.799022,2.59212,-0.0238304,-0.123487,0.584811,-1.02832,-2.69722,1.46285,-1.62096,0.196703,1.77254,-0.579077,-0.444696,
-0.0918941,0.0970706,0.558328,2.80799,-0.508638,0.102654,1.87252,-1.385,-2.91638,1.73115,1.64148,-0.785975,-1.24452,0.348632,-0.147108,
-0.145241,0.250804,0.771098,2.58353,-0.537192,0.193828,2.04702,-0.831852,-3.27933,0.386179,1.4316,-1.37509,-1.09661,0.3071,-0.159765,
0.0401083,0.0447869,0.838624,2.31092,-0.0321543,0.0680207,2.26805,-0.874831,-3.46243,1.47578,-0.0947357,-0.230984,0.0872389,0.619201,-0.160953,
-0.158971,0.311948,0.847797,2.27354,0.149998,-0.036829,1.08425,-0.516264,1.26851,0.659668,0.112527,-1.12317,-1.63806,-1.15044,-0.163249,
0.136982,0.0221425,0.435568,2.76059,-0.343342,0.216639,1.12807,-1.06568,-3.46259,2.08063,1.1182,-0.339618,-0.501716,-0.432491,0.103194,
-0.279284,-0.0201238,0.868376,2.62775,0.38126,-0.250707,1.18989,-0.600956,-2.61145,-0.327125,-0.602716,1.35123,0.910021,-0.966989,-0.638673,
0.167938,0.0875084,0.423851,2.44778,0.362256,-0.250388,0.909464,0.108028,-2.16439,1.69057,0.131491,1.10864,0.360503,0.313055,0.764219,
0.181159,0.16974,0.785663,2.1016,0.0904919,-0.258782,0.958004,-1.23654,-1.65989,1.83339,1.90934,0.170928,-1.83931,0.908031,-0.428284,
0.203819,0.171419,0.647139,2.34849,0.281339,-0.109065,2.2756,-1.13554,-3.11372,1.8423,-2.05375,0.204021,2.04662,1.08538,0.0786846,
-0.150237,-0.0877343,0.878976,2.43976,0.0817953,-0.198291,1.07838,-0.961429,-3.03017,1.26517,-0.752802,0.169616,0.539359,-0.615263,-0.443386,
0.241141,-0.123191,0.915694,2.7028,-0.00907902,0.0940183,0.413015,-1.17821,-2.59799,0.67261,1.6345,-0.86811,-1.3444,-0.548749,-0.816564,
-0.0889387,0.0353211,0.422223,2.34512,0.0389255,-0.0955009,1.3203,-0.486507,-3.4657,2.23855,-1.05567,-0.489146,0.647185,-0.703518,0.529117,
0.00570625,0.0687033,0.402694,2.65382,0.185446,-0.171981,0.97535,-1.25655,-2.99034,2.33433,1.3973,-0.197329,-1.58892,-0.404885,0.176274,
0.283792,0.0344359,0.740486,2.68744,0.313698,-0.107288,0.796236,-1.3048,-2.64885,1.25136,1.31,-0.789615,-1.38807,0.0810578,-0.499904,
0.105032,0.19501,0.617802,2.39148,-0.268754,-0.125216,0.959343,-1.21367,-3.13033,1.78407,0.59754,-0.670219,-0.225772,-0.164536,0.0173081,
0.168448,-0.0401747,0.568402,2.92296,0.497453,-0.0653566,0.619164,-0.674489,-0.627609,1.85785,-0.298909,1.29004,0.294223,0.699813,-0.83114,
0.0478403,-0.0136858,0.903887,2.68914,0.0415746,0.050178,1.48842,-1.474,-2.75139,0.878451,1.73513,-0.954448,-1.66607,0.245406,-0.768377,
0.0114626,-0.0822052,0.945496,2.66281,0.125949,-0.13677,1.32709,-0.834158,-1.39002,0.600775,-0.109754,1.15745,1.10503,0.21461,-0.723964,
0.236219,0.154434,0.799614,2.46878,0.0912539,-0.0440613,0.606137,-0.545145,-2.05483,0.849267,-0.630864,0.87421,1.37764,-0.293698,-0.074386,
