    ,x1          ,y1          ,z1       ,phix1    ,phiy1      ,phiz1      ,arm_1_joint ,arm_2_joint ,arm_3_joint ,arm_4_joint ,arm_5_joint ,arm_6_joint ,arm_7_joint ,head_1_joint ,head_2_joint ,Unnamed: 15
  0 ,0.188131    ,-0.136957   ,0.974797 ,2.2264   ,-0.2421    ,0.066443   ,   1.6507   ,-0.470239   ,0.406724    ,0.15541     ,1.05846     ,0.79908     ,0.976283    ,0.403364     ,-0.827941    ,
  5 ,-0.0904253  ,-0.0977015  ,0.785641 ,2.07356  ,-0.0561952 ,0.183886   ,   1.67064  ,0.468411    ,-1.18223    ,0.0112386   ,1.90356     ,0.294479    ,-1.19856    ,-0.0282212   ,-0.0584604   ,
 28 ,-0.0674244  ,0.0919996   ,0.453323 ,2.19911  ,0.285956   ,-0.219506  ,   1.47586  ,0.376387    ,-2.15769    ,1.70296     ,0.843741    ,1.25997     ,-1.87494    ,0.45712      ,0.525178     ,
 79 ,0.112783    ,0.172358    ,0.812753 ,2.55059  ,0.0347964  ,-0.0128613 ,   1.36083  ,-1.22791    ,-3.34941    ,0.951423    ,-1.88939    ,0.856595    ,0.351283    ,-0.106552    ,-0.531514    ,
 99 ,-0.0767412  ,0.0592063   ,0.287991 ,2.97095  ,0.491023   ,-0.149478  ,   0.646102 ,-0.102141   ,-2.88009    ,1.55878     ,-1.20841    ,0.715491    ,-0.841202   ,-0.871425    ,0.623475     ,
125 ,0.0719482   ,-0.00840427 ,0.63065  ,-3.10931 ,1.0162     ,-0.0856234 ,   1.00653  ,-1.17576    ,-1.69144    ,1.2459      ,-1.01055    ,1.22316     ,-1.2093     ,0.486302     ,-0.778793    ,
126 ,0.270129    ,-0.133578   ,0.811319 ,2.12963  ,0.10712    ,0.0116501  ,   1.60622  ,0.21381     ,0.780958    ,-0.162074   ,0.972575    ,0.243098    ,1.44637     ,0.429474     ,-0.258126    ,
177 ,-0.0856217  ,-0.0682947  ,0.693467 ,2.2753   ,-0.0495553 ,0.0868302  ,   1.67064  ,0.920865    ,0.342307    ,1.21829     ,1.95877     ,0.982362    ,0.121221    ,-0.218671    ,-0.11836     ,
184 ,-0.226826   ,-0.0245695  ,0.823    ,2.16578  ,-0.0630252 ,0.138256   ,   1.99273  ,-0.953368   ,-2.97518    ,1.23056     ,0.471041    ,0.639571    ,-1.85424    ,0.12844      ,-0.602165    ,
311 ,-0.219989   ,-0.0331093  ,0.784808 ,2.10648  ,-0.184041  ,0.0665701  ,   2.2642   ,0.589577    ,-0.728245   ,1.04191     ,1.78699     ,0.884202    ,-0.542122   ,0.718221     ,-0.23048     ,
357 ,0.338344    ,0.295613    ,0.891484 ,2.01627  ,0.00801962 ,-0.260652  ,   1.77034  ,-0.459503   ,-0.199104   ,0.189153    ,0.46644     ,1.03604     ,0.474749    ,0.836485     ,-0.422466    ,
363 ,-0.0264705  ,0.133727    ,0.61606  ,2.13431  ,0.187732   ,-0.294774  ,   1.95438  ,-0.816865   ,0.803964    ,2.17995     ,-0.742149   ,-0.968558   ,-1.73691    ,-1.07877     ,-0.844836    ,
383 ,-0.00717471 ,-0.0136726  ,0.479044 ,2.14373  ,-0.0998766 ,-0.253497  ,   0.951317 ,0.879454    ,-2.15923    ,1.48056     ,-1.80043    ,-0.623466   ,1.96018     ,0.487838     ,0.514426     ,
